Département;A : AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX;B : ARTS ET FACONNAGE D'OUVRAGES D'ART;C : BANQUE, ASSURANCE, IMMOBILIER;D : COMMERCE, VENTE ET GRANDE DISTRIBUTION;E : COMMUNICATION, MEDIA ET MULTIMEDIA;F : CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS;G : HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION;H : INDUSTRIE;I : INSTALLATION ET MAINTENANCE;J : SANTE;K : SERVICES A LA PERSONNE ET A LA COLLECTIVITE;L : SPECTACLE;M : SUPPORT A L'ENTREPRISE;N : TRANSPORT ET LOGISTIQUE
Ain ;210;10;40;880;30;580;600;590;340;400;1 090;0;390;570
Aisne ;470;10;40;350;10;510;240;380;280;180;730;0;250;420
Allier ;60;10;20;320;10;360;380;260;140;160;420;0;140;200
Alpes-de-Haute-Provence ;80;0;10;210;10;110;310;80;80;100;210;0;120;90
Hautes-Alpes ;60;0;30;240;0;210;530;70;110;180;330;0;140;150
Alpes-Maritimes ;220;40;220;1 800;50;1 350;1 540;490;820;910;2 030;10;1 210;650
Ardèche ;260;0;10;310;10;190;350;200;170;260;520;0;180;150
Ardennes ;60;10;10;300;0;210;130;160;150;90;250;0;80;140
Ariège ;60;0;10;290;10;350;180;120;160;120;230;0;200;120
Aube ;680;0;50;310;10;290;290;340;140;170;550;0;220;250
Aude ;340;0;50;610;20;450;630;140;290;210;670;0;220;730
Aveyron ;70;10;20;360;10;320;220;360;140;380;550;0;230;220
Bouches-du-Rhône ;490;50;350;7 870;110;2 430;2 930;1 630;1 770;1 440;4 890;20;2 980;2 980
Calvados ;160;0;40;780;20;850;1 010;510;380;430;1 370;0;480;580
Cantal ;20;0;10;160;0;100;250;90;80;170;220;10;80;60
Charente ;230;10;20;330;30;610;410;290;250;230;540;0;210;400
Charente-Maritime ;320;10;60;1 060;40;1 050;1 360;440;360;500;1 270;0;360;430
Cher ;190;10;10;270;10;220;260;220;120;180;400;0;160;210
Corrèze ;330;0;30;220;10;230;230;120;120;130;410;0;130;190
Côte-d'Or ;1 490;10;110;840;30;810;710;520;340;310;1 010;0;560;460
Côtes-d'Armor ;260;0;20;710;30;530;650;610;230;610;1 300;10;370;480
Creuse ;30;0;0;120;0;100;80;50;60;100;190;0;70;90
Dordogne ;230;0;10;450;10;420;490;250;180;260;470;0;180;240
Doubs ;40;10;40;710;30;380;800;430;310;280;1 100;0;360;300
Drôme ;510;40;50;980;30;510;620;630;340;340;1 200;20;480;710
Eure ;80;20;40;460;20;440;270;360;290;210;660;0;330;490
Eure-et-Loir ;110;10;40;360;20;450;280;310;260;130;510;0;280;270
Finistère ;240;10;40;1 110;20;1 100;1 220;950;390;820;1 800;0;530;530
Corse-du-Sud A;80;0;10;410;10;210;500;30;110;60;180;0;150;160
Haute-Corse B;470;0;10;280;10;210;450;50;100;90;240;0;140;380
Gard ;210;10;60;980;30;790;710;440;370;380;1 510;10;470;530
Haute-Garonne ;300;10;230;2 680;70;2 120;2 170;980;1 420;1 350;4 070;30;2 350;1 780
Gers ;170;0;10;260;10;250;200;180;90;130;260;0;160;230
Gironde ;1 490;20;550;3 500;100;3 490;2 490;1 260;1 910;1 220;5 000;20;2 280;2 350
Hérault ;420;10;190;2 190;90;1 720;2 000;670;960;790;3 050;10;1 510;980
Ille-et-Vilaine ;330;70;110;1 910;50;1 180;1 300;1 090;580;1 050;2 520;10;930;1 110
Indre ;40;10;10;240;10;170;140;140;90;130;210;0;110;200
Indre-et-Loire ;530;0;160;750;20;750;600;370;490;470;1 610;10;490;540
Isère ;150;20;140;1 810;60;1 450;1 290;1 290;880;690;2 880;20;1 280;1 420
Jura ;50;0;10;450;10;150;330;240;120;130;390;0;160;200
Landes ;130;10;30;650;20;680;730;580;310;250;840;0;260;570
Loir-et-Cher ;80;0;20;340;10;220;350;320;120;240;500;0;190;220
Loire ;190;30;60;1 000;40;640;1 070;790;470;460;1 220;0;500;480
Haute-Loire ;50;50;10;230;20;190;180;250;80;200;310;0;140;160
Loire-Atlantique ;450;10;210;2 180;110;2 250;2 020;1 590;1 320;1 040;3 560;20;1 540;1 540
Loiret ;170;10;160;1 110;30;480;500;590;370;380;1 170;0;550;770
Lot ;40;0;20;220;0;210;290;220;110;220;280;0;130;140
Lot-et-Garonne ;300;0;30;420;20;420;470;330;320;190;490;10;220;500
Lozère ;10;0;10;70;0;50;130;40;40;140;200;0;80;80
Maine-et-Loire ;1 200;30;40;920;30;770;820;880;410;560;1 580;10;510;770
Manche ;160;10;20;660;10;850;470;600;320;340;830;10;260;400
Marne ;980;10;140;720;20;730;570;550;430;270;1 000;0;560;610
Haute-Marne ;40;0;20;190;10;160;140;160;80;60;310;0;120;170
Mayenne ;90;0;10;430;30;320;190;520;180;160;510;0;290;330
Meurthe-et-Moselle ;180;10;70;1 090;40;570;730;480;480;500;1 410;0;700;670
Meuse ;40;0;0;140;0;120;120;110;90;110;250;0;80;90
Morbihan ;250;10;30;1 470;20;880;1 160;750;380;380;1 470;10;410;670
Moselle ;230;20;60;1 600;50;1 220;1 160;680;600;620;2 170;0;830;1 020
Nièvre ;60;10;10;140;0;150;160;200;70;170;290;0;90;90
Nord ;360;40;210;5 060;100;1 750;1 870;2 110;1 350;960;4 190;20;3 130;2 050
Oise ;80;0;50;680;20;470;370;410;290;320;1 230;10;350;580
Orne ;80;0;20;200;20;180;210;220;120;160;430;0;170;210
Pas-de-Calais ;380;10;60;1 370;40;1 210;1 150;800;500;490;1 900;0;610;1 490
Puy-de-Dôme ;120;10;70;950;40;750;970;350;360;400;1 270;10;460;510
Pyrénées-Atlantiques ;260;30;50;910;30;710;1 410;320;460;550;1 530;10;450;490
Hautes-Pyrénées ;50;0;20;330;10;280;400;100;100;210;400;0;140;150
Pyrénées-Orientales ;280;10;40;710;40;370;790;190;260;260;640;10;260;330
Bas-Rhin ;560;10;90;1 380;50;780;1 510;820;530;560;2 080;40;850;920
Haut-Rhin ;880;10;50;740;30;730;750;480;550;380;1 110;0;490;320
Rhône ;1 600;50;440;3 310;130;2 480;2 250;1 910;2 410;1 290;7 170;80;3 340;2 130
Haute-Saône ;30;0;20;200;0;140;130;190;90;80;290;0;120;150
Saône-et-Loire ;310;10;40;640;40;320;480;420;600;300;890;0;290;360
Sarthe ;520;0;30;620;20;430;450;770;280;330;1 200;10;470;570
Savoie ;150;0;60;990;50;750;1 760;520;400;310;1 490;10;460;530
Haute-Savoie ;160;10;130;1 230;50;890;1 690;570;520;700;1 630;10;720;570
Paris ;390;70;1 210;4 060;160;3 470;1 280;1 140;3 630;1 090;5 440;1 430;4 560;1 210
Seine-Maritime ;230;20;170;920;30;1 130;810;580;570;530;1 780;10;760;880
Seine-et-Marne ;130;10;70;830;30;780;560;420;560;350;1 310;30;650;1 210
Yvelines ;150;10;130;1 240;40;570;1 020;380;490;250;1 690;60;4 350;480
Deux-Sèvres ;160;10;30;370;20;430;320;420;270;290;730;0;290;420
Somme ;190;30;90;700;20;350;430;420;310;120;970;0;310;990
Tarn ;130;10;40;500;20;350;380;290;210;310;690;0;210;230
Tarn-et-Garonne ;210;0;10;300;0;230;170;150;140;190;460;0;170;330
Var ;750;20;100;1 780;50;1 380;2 410;350;730;740;3 160;0;660;1 050
Vaucluse ;720;10;70;970;50;980;740;550;560;420;1 450;10;650;1 060
Vendée ;630;10;70;940;40;940;900;1 210;480;560;1 440;0;390;1 170
Vienne ;180;0;120;570;30;400;500;400;280;510;1 090;20;480;270
Haute-Vienne ;120;10;20;370;20;260;280;280;200;220;550;0;230;270
Vosges ;70;10;30;470;30;290;490;250;180;170;480;0;270;230
Yonne ;130;10;40;250;30;350;210;540;240;200;450;0;190;560
Territoire de Belfort ;10;0;10;110;0;110;150;150;60;50;240;0;70;70
Essonne ;140;0;50;1 190;30;540;410;330;550;250;1 460;10;700;1 350
Hauts-de-Seine ;110;120;280;2 040;60;760;400;550;830;620;2 280;20;2 080;530
Seine-Saint-Denis ;40;10;160;940;80;720;320;430;1 040;220;1 250;20;1 280;720
Val-de-Marne ;50;10;90;1 220;30;380;420;220;400;240;1 310;20;810;540
Val-d'Oise ;100;10;80;550;30;460;400;290;380;250;1 110;0;540;530
Guadeloupe ;50;10;30;660;30;260;450;60;200;80;280;0;300;160
Martinique ;160;0;30;340;20;250;360;70;160;100;400;10;320;110
Guyane ;30;10;20;160;10;110;150;40;110;90;340;0;140;80
La Réunion ;400;30;80;1 550;60;1 010;1 530;220;480;330;1 480;10;840;620
